algo_config,dgp_config_folder,algorithm,full_alpha_range,dataset,feature_dim,n_train_samples,n_test_samples,mc_iterations,max_depth,min_samples_split,kappa,max_features,fit_duration (mean),fit_duration (median),noise_learning_duration (mean),noise_learning_duration (median),permutation_importance_means,permutation_importance_stds,feature_importances,Train Noise (mean),Train Noise (median),Est. Train Noise (mean),Est. Train Noise (median),Train Noise Est. Diff. (mean),Train Noise Est. Diff. (median),Train Accuracy (mean),Train Accuracy (median),Test Accuracy (mean),Test Accuracy (median),Test Precision (mean),Test Precision (median),Test Recall (mean),Test Recall (median),Test F1 (mean),Test F1 (median),Depth (mean),Depth (median),N Leaves (mean),N Leaves (median),Test AUC (mean),Test AUC (median),Test Log Loss (mean),Test Log Loss (median),Test Matthews (mean),Test Matthews (median),Class 1 Fraction (mean),Class 1 Fraction (median)
es_1nn.yaml,expanded,ES,,Smooth Signal,30,1000,1000,300,,2,1nn,all,0.776,0.447,0.0,0.0,"0.08,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.41,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0.142,0.142,0.187,0.187,-0.045,-0.045,0.751,0.744,0.716,0.709,0.454,0.508,0.538,0.655,0.474,0.581,3.13,3.0,8.733,8.0,0.714,0.714,0.719,0.66,0.315,0.378,0.3,0.3
two_step.yaml,expanded,TS,0.0,Smooth Signal,30,1000,1000,300,,2,1nn,all,1.974,1.549,0.0,0.0,"0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.49,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0.142,0.142,0.187,0.187,-0.045,-0.045,0.789,0.797,0.764,0.772,0.591,0.622,0.573,0.598,0.576,0.609,3.863,4.0,5.43,5.0,0.742,0.747,0.535,0.518,0.426,0.457,0.3,0.3
es_true_mse.yaml,expanded,ES*,,Smooth Signal,30,1000,1000,300,,2,mean_var,all,0.036,0.035,0.0,0.0,"0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.36,0.37,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0.142,0.142,0.142,0.142,0.0,0.0,0.838,0.838,0.753,0.754,0.599,0.596,0.558,0.561,0.574,0.579,5.367,5.0,25.92,24.0,0.74,0.742,1.534,1.492,0.404,0.408,0.3,0.3
post_pruned.yaml,expanded,CCP,0.0,Smooth Signal,30,1000,1000,300,,2,,all,16.481,16.615,0.0,0.0,"0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.49,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0.142,0.142,,,,,0.803,0.805,0.778,0.78,0.653,0.658,0.561,0.568,0.597,0.607,4.527,4.0,5.643,5.0,0.753,0.754,0.515,0.51,0.454,0.46,0.3,0.3
two_step*.yaml,standard,TS*,0.0,Smooth Signal,5,1000,1000,300,,2,mean_var,all,0.667,0.607,0.0,0.0,"0.11,0.11,0.0,0.0,0.0","0.01,0.01,0.0,0.0,0.0","0.49,0.5,0.0,0.0,0.0",0.142,0.142,0.142,0.142,0.0,0.0,0.805,0.806,0.78,0.782,0.666,0.67,0.553,0.556,0.598,0.604,4.717,5.0,6.157,6.0,0.757,0.758,0.516,0.508,0.458,0.462,0.3,0.3
two_step*_full.yaml,standard,TS*,1.0,Smooth Signal,5,1000,1000,300,,2,mean_var,all,0.701,0.643,0.0,0.0,"0.11,0.11,0.0,0.0,0.0","0.01,0.01,0.0,0.0,0.0","0.49,0.5,0.0,0.0,0.0",0.142,0.142,0.142,0.142,0.0,0.0,0.805,0.806,0.78,0.782,0.664,0.67,0.551,0.556,0.596,0.604,4.7,5.0,6.13,6.0,0.756,0.757,0.515,0.508,0.456,0.462,0.3,0.3
post_pruned_full.yaml,standard,CCP,1.0,Smooth Signal,5,1000,1000,300,,2,,all,4.178,4.222,0.0,0.0,"0.11,0.11,0.0,0.0,0.0","0.01,0.01,0.0,0.0,0.0","0.49,0.5,0.0,0.0,0.0",0.142,0.142,,,,,0.808,0.808,0.781,0.782,0.672,0.672,0.541,0.545,0.593,0.602,5.247,5.0,6.74,6.0,0.757,0.758,0.524,0.509,0.456,0.461,0.3,0.3
max_depth.yaml,standard,MD,,Smooth Signal,5,1000,1000,300,,2,,all,0.015,0.011,0.0,0.0,"0.07,0.07,-0.0,-0.0,-0.0","0.01,0.01,0.01,0.01,0.01","0.31,0.3,0.13,0.13,0.13",0.142,0.142,,,,,1.0,1.0,0.703,0.704,0.507,0.506,0.519,0.519,0.512,0.512,17.477,17.0,180.033,180.0,0.651,0.65,10.697,10.687,0.3,0.299,0.3,0.3
es_1nn.yaml,standard,ES,,Smooth Signal,5,1000,1000,300,,2,1nn,all,0.017,0.015,0.0,0.0,"0.11,0.1,0.0,0.0,0.0","0.01,0.01,0.0,0.0,0.0","0.44,0.45,0.03,0.03,0.03",0.142,0.142,0.15,0.15,-0.009,-0.009,0.82,0.821,0.768,0.768,0.633,0.633,0.556,0.559,0.588,0.593,5.113,5.0,25.457,24.0,0.766,0.766,1.314,1.245,0.433,0.433,0.3,0.3
two_step.yaml,standard,TS,0.0,Smooth Signal,5,1000,1000,300,,2,1nn,all,0.898,0.865,0.0,0.0,"0.11,0.11,0.0,0.0,0.0","0.01,0.01,0.0,0.0,0.0","0.49,0.5,0.0,0.0,0.0",0.142,0.142,0.15,0.15,-0.009,-0.009,0.806,0.807,0.78,0.782,0.67,0.671,0.545,0.547,0.595,0.601,4.927,5.0,6.383,6.0,0.758,0.759,0.516,0.507,0.456,0.461,0.3,0.3
es_true_mse.yaml,standard,ES*,,Smooth Signal,5,1000,1000,300,,2,mean_var,all,0.009,0.008,0.0,0.0,"0.1,0.1,0.0,0.0,0.0","0.01,0.01,0.0,0.0,0.0","0.44,0.44,0.04,0.04,0.04",0.142,0.142,0.142,0.142,0.0,0.0,0.828,0.828,0.763,0.764,0.623,0.619,0.553,0.554,0.582,0.589,5.523,5.5,30.727,29.0,0.763,0.763,1.541,1.494,0.422,0.427,0.3,0.3
two_step_full.yaml,standard,TS,1.0,Smooth Signal,5,1000,1000,300,,2,1nn,all,0.935,0.901,0.0,0.0,"0.11,0.11,0.0,0.0,0.0","0.01,0.01,0.0,0.0,0.0","0.49,0.5,0.0,0.0,0.0",0.142,0.142,0.15,0.15,-0.009,-0.009,0.806,0.807,0.78,0.782,0.67,0.671,0.545,0.547,0.595,0.601,4.927,5.0,6.383,6.0,0.758,0.759,0.516,0.507,0.456,0.461,0.3,0.3
post_pruned.yaml,standard,CCP,0.0,Smooth Signal,5,1000,1000,300,,2,,all,4.108,4.125,0.0,0.0,"0.11,0.11,0.0,0.0,0.0","0.01,0.01,0.0,0.0,0.0","0.49,0.5,0.0,0.0,0.0",0.142,0.142,,,,,0.808,0.808,0.781,0.782,0.672,0.672,0.541,0.545,0.593,0.602,5.247,5.0,6.74,6.0,0.757,0.758,0.524,0.509,0.456,0.461,0.3,0.3
two_step*.yaml,expanded,TS*,0.0,Smooth Signal,5,100,100,300,,2,mean_var,all,0.093,0.087,0.0,0.0,"0.06,0.07,0.0,0.0,0.0","0.02,0.02,0.0,0.0,0.0","0.41,0.42,0.0,0.0,0.0",0.141,0.141,0.141,0.141,0.0,0.0,0.83,0.84,0.696,0.7,0.477,0.485,0.51,0.548,0.472,0.507,3.253,3.0,5.237,5.0,0.668,0.677,1.884,1.391,0.287,0.299,0.304,0.305
max_depth.yaml,expanded,MD,,Smooth Signal,5,100,100,300,,2,,all,0.004,0.002,0.0,0.0,"0.06,0.06,0.0,0.0,0.0","0.03,0.03,0.01,0.01,0.01","0.31,0.31,0.13,0.12,0.12",0.141,0.141,,,,,1.0,1.0,0.683,0.68,0.476,0.476,0.498,0.5,0.479,0.487,8.437,8.0,20.38,20.0,0.631,0.636,11.423,11.534,0.258,0.27,0.304,0.305
es_1nn.yaml,expanded,ES,,Smooth Signal,5,100,100,300,,2,1nn,all,0.006,0.004,0.0,0.0,"0.05,0.06,0.0,0.0,0.0","0.02,0.02,0.0,0.0,0.0","0.37,0.41,0.01,0.0,0.0",0.141,0.141,0.164,0.16,-0.023,-0.022,0.834,0.85,0.686,0.69,0.433,0.465,0.479,0.53,0.435,0.489,3.173,3.0,7.007,7.0,0.656,0.66,3.156,2.677,0.251,0.272,0.304,0.305
two_step.yaml,expanded,TS,0.0,Smooth Signal,5,100,100,300,,2,1nn,all,0.103,0.103,0.0,0.0,"0.06,0.06,0.0,0.0,0.0","0.02,0.02,0.0,0.0,0.0","0.39,0.4,0.0,0.0,0.0",0.141,0.141,0.164,0.16,-0.023,-0.022,0.834,0.84,0.696,0.69,0.469,0.479,0.483,0.506,0.456,0.493,3.437,3.0,5.493,5.0,0.665,0.671,2.14,1.407,0.274,0.293,0.304,0.305
es_true_mse.yaml,expanded,ES*,,Smooth Signal,5,100,100,300,,2,mean_var,all,0.004,0.003,0.0,0.0,"0.07,0.07,0.0,0.0,0.0","0.02,0.03,0.0,0.01,0.0","0.37,0.38,0.07,0.07,0.07",0.141,0.141,0.141,0.141,0.0,0.0,0.876,0.88,0.696,0.7,0.498,0.5,0.52,0.535,0.493,0.5,3.913,4.0,9.293,9.0,0.668,0.671,4.161,3.934,0.292,0.305,0.304,0.305
post_pruned.yaml,expanded,CCP,0.0,Smooth Signal,5,100,100,300,,2,,all,0.196,0.191,0.0,0.0,"0.06,0.07,0.0,0.0,0.0","0.02,0.03,0.0,0.0,0.0","0.38,0.38,0.0,0.0,0.0",0.141,0.141,,,,,0.873,0.87,0.705,0.7,0.505,0.5,0.49,0.5,0.479,0.5,4.767,4.0,7.663,6.0,0.661,0.665,3.478,1.877,0.294,0.305,0.304,0.305
two_step*.yaml,standard,TS*,0.0,Smooth Signal,2,1000,1000,300,,2,mean_var,all,0.447,0.444,0.0,0.0,"0.11,0.11","0.01,0.01","0.49,0.51",0.142,0.142,0.142,0.142,0.0,0.0,0.806,0.807,0.78,0.782,0.669,0.671,0.548,0.55,0.597,0.604,4.92,5.0,6.917,6.0,0.762,0.762,0.519,0.508,0.457,0.46,0.3,0.3
two_step*_full.yaml,standard,TS*,1.0,Smooth Signal,2,1000,1000,300,,2,mean_var,all,0.474,0.47,0.0,0.0,"0.11,0.11","0.01,0.01","0.49,0.51",0.142,0.142,0.142,0.142,0.0,0.0,0.806,0.807,0.78,0.782,0.669,0.671,0.548,0.55,0.597,0.604,4.92,5.0,6.917,6.0,0.762,0.762,0.519,0.508,0.457,0.46,0.3,0.3
post_pruned_full.yaml,standard,CCP,1.0,Smooth Signal,2,1000,1000,300,,2,,all,2.822,2.829,0.0,0.0,"0.11,0.11","0.01,0.01","0.5,0.5",0.142,0.142,,,,,0.809,0.81,0.781,0.782,0.675,0.679,0.535,0.533,0.591,0.597,5.6,5.0,7.703,7.0,0.762,0.762,0.531,0.507,0.455,0.46,0.3,0.3
max_depth.yaml,standard,MD,,Smooth Signal,2,1000,1000,300,,2,,all,0.009,0.007,0.0,0.0,"0.08,0.08","0.01,0.01","0.5,0.5",0.142,0.142,,,,,1.0,1.0,0.713,0.715,0.523,0.522,0.527,0.526,0.524,0.526,20.083,20.0,227.977,228.0,0.66,0.66,10.341,10.272,0.32,0.32,0.3,0.3
es_1nn.yaml,standard,ES,,Smooth Signal,2,1000,1000,300,,2,1nn,all,0.009,0.008,0.0,0.0,"0.1,0.1","0.01,0.01","0.49,0.51",0.142,0.142,0.142,0.141,-0.0,0.0,0.825,0.825,0.77,0.77,0.641,0.64,0.55,0.552,0.588,0.592,5.673,6.0,32.56,32.0,0.777,0.776,1.516,1.468,0.435,0.438,0.3,0.3
two_step.yaml,standard,TS,0.0,Smooth Signal,2,1000,1000,300,,2,1nn,all,0.72,0.685,0.0,0.0,"0.11,0.11","0.01,0.01","0.5,0.5",0.142,0.142,0.142,0.141,-0.0,0.0,0.808,0.809,0.781,0.783,0.673,0.672,0.54,0.545,0.594,0.601,5.383,5.0,7.42,7.0,0.762,0.763,0.525,0.506,0.457,0.462,0.3,0.3
es_true_mse.yaml,standard,ES*,,Smooth Signal,2,1000,1000,300,,2,mean_var,all,0.005,0.005,0.0,0.0,"0.1,0.1","0.01,0.01","0.5,0.5",0.142,0.142,0.142,0.142,0.0,0.0,0.824,0.824,0.77,0.77,0.638,0.636,0.553,0.554,0.589,0.591,5.633,6.0,31.793,32.0,0.777,0.778,1.471,1.429,0.435,0.438,0.3,0.3
two_step_full.yaml,standard,TS,1.0,Smooth Signal,2,1000,1000,300,,2,1nn,all,0.747,0.717,0.0,0.0,"0.11,0.11","0.01,0.01","0.5,0.5",0.142,0.142,0.142,0.141,-0.0,0.0,0.808,0.809,0.781,0.783,0.673,0.672,0.54,0.545,0.594,0.601,5.383,5.0,7.42,7.0,0.762,0.763,0.525,0.506,0.457,0.462,0.3,0.3
post_pruned.yaml,standard,CCP,0.0,Smooth Signal,2,1000,1000,300,,2,,all,2.732,2.762,0.0,0.0,"0.11,0.11","0.01,0.01","0.5,0.5",0.142,0.142,,,,,0.809,0.81,0.781,0.782,0.675,0.679,0.535,0.533,0.591,0.597,5.6,5.0,7.703,7.0,0.762,0.762,0.531,0.507,0.455,0.46,0.3,0.3
two_step*.yaml,expanded,TS*,0.0,Smooth Signal,100,1000,1000,300,,2,mean_var,all,6.65,6.078,0.0,0.0,"0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.49,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0.142,0.142,0.142,0.142,0.0,0.0,0.799,0.802,0.775,0.779,0.634,0.647,0.574,0.588,0.597,0.616,4.163,4.0,5.27,5.0,0.75,0.751,0.514,0.511,0.451,0.463,0.3,0.3
max_depth.yaml,expanded,MD,,Smooth Signal,100,1000,1000,300,,2,,all,0.227,0.225,0.0,0.0,"0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.16,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0",0.142,0.142,,,,,1.0,1.0,0.689,0.689,0.483,0.485,0.495,0.496,0.488,0.489,17.127,17.0,106.073,106.0,0.634,0.633,11.216,11.21,0.265,0.266,0.3,0.3
es_1nn.yaml,expanded,ES,,Smooth Signal,100,1000,1000,300,,2,1nn,all,0.821,0.457,0.0,0.0,"0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.3,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0.142,0.142,0.198,0.197,-0.057,-0.056,0.725,0.718,0.701,0.699,0.276,0.333,0.334,0.007,0.282,0.013,2.403,2.5,5.833,5.5,0.678,0.692,0.668,0.612,0.174,0.003,0.3,0.3
two_step.yaml,expanded,TS,0.0,Smooth Signal,100,1000,1000,300,,2,1nn,all,2.783,2.567,0.0,0.0,"0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0","0.48,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0.142,0.142,0.198,0.197,-0.057,-0.056,0.757,0.756,0.736,0.731,0.416,0.544,0.44,0.587,0.422,0.591,3.177,3.0,4.63,5.0,0.718,0.72,0.551,0.537,0.302,0.401,0.3,0.3
